Vendor ID,Vendor Name,Vendor Category,Invoice Number,Invoice Date,Invoice Amount,Due Date,Payment Date,Payment Status,Payment Method,Days Overdue
VEN046,Townsend-Howard,Restaurant Partners,INV-2023-046,31-07-2024,169251.07,30-08-2024,,Overdue,Bank Transfer,195
VEN047,"Jones, Browning and Brown",Marketing,INV-2023-047,16-09-2024,51451.33,16-10-2024,11-10-2024,Paid,Bank Transfer,0
VEN048,Nixon-Murphy,Packaging,INV-2023-048,23-09-2024,139018.36,23-10-2024,,Pending,UPI,0
VEN049,"Buck, Mccoy and Harmon",Restaurant Partners,INV-2023-049,14-07-2024,40018.95,13-08-2024,13-08-2024,Paid,Bank Transfer,0
VEN050,Lowe Ltd,Logistics,INV-2023-050,19-07-2024,138078.8,18-08-2024,23-08-2024,Paid,Bank Transfer,0
VEN051,Parker-Harper,Marketing,INV-2023-051,16-01-2025,182560.9,15-02-2025,,Overdue,Bank Transfer,26
VEN052,Hernandez-Johnson,Logistics,INV-2023-052,04-09-2024,179042.26,04-10-2024,09-10-2024,Paid,UPI,0
VEN053,Mcgee-Sanchez,Marketing,INV-2023-053,06-02-2025,72333.25,08-03-2025,,Overdue,Cheque,5
VEN054,Smith Group,Packaging,INV-2023-054,30-08-2024,9415.92,29-09-2024,,Overdue,Cheque,165
VEN055,Orozco Group,Packaging,INV-2023-055,09-07-2024,23351.09,08-08-2024,,Pending,Cheque,0
VEN056,Bush LLC,Restaurant Partners,INV-2023-056,26-03-2024,103457.57,25-04-2024,,Pending,UPI,0
VEN057,White-Cole,Marketing,INV-2023-057,26-05-2024,118956.96,25-06-2024,25-06-2024,Paid,Bank Transfer,0
VEN058,"Beasley, Freeman and Bryant",Marketing,INV-2023-058,10-05-2024,84399.73,09-06-2024,,Pending,Bank Transfer,0
VEN059,"Hernandez, Miller and Lopez",Marketing,INV-2023-059,30-09-2024,129890.98,30-10-2024,,Overdue,Bank Transfer,134
VEN060,Jones Group,Restaurant Partners,INV-2023-060,23-12-2024,21441.96,22-01-2025,,Pending,UPI,0
VEN061,Daniel and Sons,Packaging,INV-2023-061,17-04-2024,40741.28,17-05-2024,,Pending,UPI,0
VEN062,"Foster, Taylor and Carroll",Logistics,INV-2023-062,31-08-2024,145594.87,30-09-2024,,Overdue,Cheque,164
VEN063,"Rowe, Perry and Owens",Marketing,INV-2023-063,14-10-2024,7588.33,13-11-2024,,Pending,UPI,0
VEN064,Brown Ltd,Marketing,INV-2023-064,01-11-2024,70774.73,01-12-2024,11-12-2024,Paid,UPI,0
VEN065,Nguyen-Johnson,Packaging,INV-2023-065,02-02-2025,9974.53,04-03-2025,,Overdue,Cheque,9
VEN066,Dennis-Smith,Marketing,INV-2023-066,20-12-2024,187366,19-01-2025,24-01-2025,Paid,UPI,0
VEN067,"Gonzalez, Snyder and Brooks",Marketing,INV-2023-067,26-12-2024,87521.1,25-01-2025,04-02-2025,Paid,Bank Transfer,0
VEN068,Rodriguez and Sons,Packaging,INV-2023-068,10-08-2024,184790.29,09-09-2024,,Overdue,Cheque,185
VEN069,Campbell PLC,Restaurant Partners,INV-2023-069,04-12-2024,35841.57,03-01-2025,,Pending,Cheque,0
VEN070,Parks Inc,Logistics,INV-2023-070,01-01-2025,192286.16,31-01-2025,31-01-2025,Paid,UPI,0
VEN071,Smith-Gomez,Packaging,INV-2023-071,19-09-2024,20701.64,19-10-2024,17-10-2024,Paid,UPI,0
VEN072,"Wang, Gutierrez and Garcia",Restaurant Partners,INV-2023-072,11-11-2024,63996.77,11-12-2024,06-12-2024,Paid,Cheque,0
VEN073,"Diaz, Rhodes and Welch",Restaurant Partners,INV-2023-073,15-02-2025,48543.89,17-03-2025,,Pending,Bank Transfer,0
VEN074,Fischer PLC,Logistics,INV-2023-074,21-12-2024,118892.9,20-01-2025,,Pending,UPI,0
VEN075,Cohen-Wright,Packaging,INV-2023-075,21-01-2025,198875.04,20-02-2025,20-02-2025,Paid,UPI,0
VEN076,Calderon Ltd,Packaging,INV-2023-076,12-10-2024,15769.92,11-11-2024,,Pending,Bank Transfer,0
VEN077,Johnson LLC,Logistics,INV-2023-077,28-12-2024,25667.98,27-01-2025,,Pending,Cheque,0
VEN078,Miller Inc,Logistics,INV-2023-078,11-02-2025,72602.43,13-03-2025,,Pending,Cheque,0
VEN079,"Malone, Webb and Mills",Marketing,INV-2023-079,03-12-2024,114925.33,02-01-2025,,Overdue,Bank Transfer,70
VEN080,Wright-Bonilla,Restaurant Partners,INV-2023-080,12-03-2024,197296.29,11-04-2024,,Overdue,Bank Transfer,336
VEN081,"Mckinney, Pena and Rosario",Logistics,INV-2023-081,31-08-2024,33213.42,30-09-2024,,Overdue,Bank Transfer,164
VEN082,Nelson-Hunt,Logistics,INV-2023-082,12-04-2024,31414.91,12-05-2024,,Overdue,Cheque,305
VEN083,Peters LLC,Restaurant Partners,INV-2023-083,14-01-2025,68071.06,13-02-2025,23-02-2025,Paid,Bank Transfer,0
VEN084,"Sandoval, Chung and Wagner",Restaurant Partners,INV-2023-084,30-05-2024,11574.96,29-06-2024,,Pending,UPI,0
VEN085,"Ritter, Klein and Horn",Packaging,INV-2023-085,05-07-2024,97891.87,04-08-2024,,Overdue,Bank Transfer,221
VEN086,Warren-Williams,Packaging,INV-2023-086,07-08-2024,60785.39,06-09-2024,16-09-2024,Paid,Bank Transfer,0
VEN087,Bates-Duncan,Marketing,INV-2023-087,18-12-2024,191154.44,17-01-2025,,Pending,UPI,0
VEN088,Kline-Bender,Packaging,INV-2023-088,11-07-2024,76793.52,10-08-2024,20-08-2024,Paid,Bank Transfer,0
VEN089,Johnson Inc,Packaging,INV-2023-089,23-12-2024,73895.51,22-01-2025,,Overdue,UPI,50
VEN090,"Grimes, George and Johnson",Packaging,INV-2023-090,04-08-2024,16054.06,03-09-2024,,Overdue,Bank Transfer,191
VEN091,Lopez PLC,Logistics,INV-2023-091,03-10-2024,186546.17,02-11-2024,,Overdue,Cheque,131
VEN092,"Martinez, Davenport and Ramirez",Restaurant Partners,INV-2023-092,17-11-2024,82397.49,17-12-2024,,Overdue,Bank Transfer,86
VEN093,Hernandez Inc,Logistics,INV-2023-093,20-06-2024,187338.07,20-07-2024,25-07-2024,Paid,UPI,0
VEN094,"Perkins, Villegas and Nguyen",Marketing,INV-2023-094,30-01-2025,94027.49,01-03-2025,,Overdue,Bank Transfer,12
VEN095,Ryan LLC,Logistics,INV-2023-095,14-03-2024,147452.81,13-04-2024,,Overdue,UPI,334
VEN096,Michael-Kline,Marketing,INV-2023-096,01-01-2025,66994.89,31-01-2025,,Pending,UPI,0
VEN097,Gilmore-Nixon,Restaurant Partners,INV-2023-097,20-09-2024,166833.89,20-10-2024,,Pending,UPI,0
VEN098,Hayes LLC,Restaurant Partners,INV-2023-098,08-11-2024,64262.06,08-12-2024,,Overdue,Cheque,95
VEN099,Gomez and Sons,Marketing,INV-2023-099,19-07-2024,19412.44,18-08-2024,16-08-2024,Paid,Bank Transfer,0
VEN100,Middleton Group,Packaging,INV-2023-100,25-06-2024,36888.67,25-07-2024,20-07-2024,Paid,Bank Transfer,0
VEN101,"Knapp, Jones and Clark",Packaging,INV-2023-101,15-03-2024,5893.82,14-04-2024,14-04-2024,Paid,Bank Transfer,0
VEN102,"Wade, Hays and Gilbert",Restaurant Partners,INV-2023-102,14-01-2025,148179.66,13-02-2025,13-02-2025,Paid,UPI,0
VEN103,West Ltd,Restaurant Partners,INV-2023-103,10-01-2025,16880.12,09-02-2025,,Pending,UPI,0
VEN104,Mccarty-Smith,Packaging,INV-2023-104,10-11-2024,41942.59,10-12-2024,,Pending,Bank Transfer,0
VEN105,Mcmillan-Wilson,Marketing,INV-2023-105,04-05-2024,38437.21,03-06-2024,,Pending,UPI,0
VEN106,Lin-Peterson,Marketing,INV-2023-106,22-07-2024,185521.35,21-08-2024,19-08-2024,Paid,UPI,0
VEN107,"Evans, Sloan and Rose",Logistics,INV-2023-107,06-02-2025,106850.99,08-03-2025,,Pending,Cheque,0
VEN108,Hatfield Ltd,Logistics,INV-2023-108,05-04-2024,63786.03,05-05-2024,,Pending,UPI,0
VEN109,"Mills, Moore and Martinez",Marketing,INV-2023-109,25-02-2025,80396.19,27-03-2025,,Overdue,Bank Transfer,-14
VEN110,"Koch, Larson and Reynolds",Packaging,INV-2023-110,06-11-2024,118703.71,06-12-2024,,Overdue,Cheque,97
VEN111,Carroll-Martin,Logistics,INV-2023-111,25-04-2024,55360.29,25-05-2024,30-05-2024,Paid,Bank Transfer,0
VEN112,Liu-Watts,Logistics,INV-2023-112,22-08-2024,162078.54,21-09-2024,,Pending,Bank Transfer,0
VEN113,Owens-Kirby,Logistics,INV-2023-113,08-11-2024,12729.18,08-12-2024,,Overdue,UPI,95
VEN114,"Harris, Collins and Scott",Logistics,INV-2023-114,06-02-2025,5028.63,08-03-2025,18-03-2025,Paid,Cheque,0
VEN115,"Knapp, Chambers and Tate",Packaging,INV-2023-115,06-07-2024,15318.28,05-08-2024,,Pending,Bank Transfer,0
VEN116,Ford LLC,Packaging,INV-2023-116,22-12-2024,113481.87,21-01-2025,21-01-2025,Paid,Cheque,0
VEN117,"Jones, Reed and Hunt",Logistics,INV-2023-117,01-01-2025,103836.41,31-01-2025,,Overdue,Cheque,41
VEN118,Edwards-Guerrero,Restaurant Partners,INV-2023-118,23-03-2024,149572.82,22-04-2024,,Pending,Bank Transfer,0
VEN119,Freeman Group,Restaurant Partners,INV-2023-119,15-09-2024,100887.3,15-10-2024,20-10-2024,Paid,Cheque,0
VEN120,"Peck, Brock and Jackson",Restaurant Partners,INV-2023-120,29-08-2024,146606.22,28-09-2024,,Overdue,Bank Transfer,166
VEN121,Morgan-Peters,Logistics,INV-2023-121,15-03-2024,195353.02,14-04-2024,24-04-2024,Paid,Cheque,0
VEN122,Johnson-Mcdonald,Marketing,INV-2023-122,03-01-2025,6948.52,02-02-2025,28-01-2025,Paid,Cheque,0
VEN123,"Ray, Reyes and Guzman",Restaurant Partners,INV-2023-123,29-01-2025,164819.78,28-02-2025,,Pending,UPI,0
VEN124,Snyder-Gardner,Logistics,INV-2023-124,22-09-2024,7885.42,22-10-2024,,Overdue,Bank Transfer,142
VEN125,King-Wilcox,Logistics,INV-2023-125,12-03-2025,57258.14,11-04-2025,,Pending,Bank Transfer,0
VEN126,Daniels PLC,Logistics,INV-2023-126,19-09-2024,89183.28,19-10-2024,17-10-2024,Paid,UPI,0
VEN127,"Brown, Rogers and Graham",Restaurant Partners,INV-2023-127,23-10-2024,195729.52,22-11-2024,,Overdue,Bank Transfer,111
VEN128,Garrett Inc,Logistics,INV-2023-128,04-07-2024,53758.03,03-08-2024,13-08-2024,Paid,Cheque,0
VEN129,Norman PLC,Marketing,INV-2023-129,31-07-2024,39588.43,30-08-2024,,Overdue,Cheque,195
VEN130,Cooke-Wolf,Logistics,INV-2023-130,27-06-2024,27115.15,27-07-2024,,Pending,UPI,0
VEN131,Thomas-Greer,Marketing,INV-2023-131,15-07-2024,78194.38,14-08-2024,24-08-2024,Paid,UPI,0
VEN132,"Evans, Hernandez and Bailey",Restaurant Partners,INV-2023-132,08-06-2024,129577.52,08-07-2024,08-07-2024,Paid,Cheque,0
VEN133,"Erickson, Allen and Cherry",Logistics,INV-2023-133,19-05-2024,100744.64,18-06-2024,18-06-2024,Paid,UPI,0
VEN134,Chase-Le,Packaging,INV-2023-134,14-02-2025,173799.08,16-03-2025,11-03-2025,Paid,UPI,0
VEN135,"Palmer, Cabrera and Vaughn",Logistics,INV-2023-135,22-10-2024,22443.12,21-11-2024,,Overdue,UPI,112
VEN136,Gonzalez-Morgan,Packaging,INV-2023-136,02-05-2024,85749.95,01-06-2024,30-05-2024,Paid,UPI,0
VEN137,Johnson-Bishop,Restaurant Partners,INV-2023-137,02-01-2025,11344.01,01-02-2025,,Pending,Cheque,0
VEN138,Henry-Nelson,Packaging,INV-2023-138,21-02-2025,26827.28,23-03-2025,,Overdue,UPI,-10
VEN139,"Anderson, Walters and Ortiz",Logistics,INV-2023-139,22-06-2024,126207.97,22-07-2024,,Pending,UPI,0
VEN140,Stewart PLC,Logistics,INV-2023-140,02-12-2024,138099.45,01-01-2025,27-12-2024,Paid,Bank Transfer,0
VEN141,Roberts-Matthews,Marketing,INV-2023-141,28-10-2024,152014.68,27-11-2024,07-12-2024,Paid,Bank Transfer,0
VEN142,Williams-Rosales,Marketing,INV-2023-142,13-03-2024,45337.59,12-04-2024,,Pending,Bank Transfer,0
VEN143,Bishop-Braun,Packaging,INV-2023-143,29-01-2025,159999.47,28-02-2025,,Overdue,Bank Transfer,13
VEN144,Young Ltd,Marketing,INV-2023-144,02-01-2025,91895.53,01-02-2025,,Pending,Cheque,0
VEN145,"Garcia, Luna and Sanford",Restaurant Partners,INV-2023-145,27-11-2024,10781.73,27-12-2024,,Overdue,Bank Transfer,76
VEN146,"Tyler, Pierce and Phillips",Restaurant Partners,INV-2023-146,06-03-2025,30694.68,05-04-2025,,Overdue,Cheque,-23
VEN147,Stephens-Lamb,Packaging,INV-2023-147,08-09-2024,22040.96,08-10-2024,13-10-2024,Paid,UPI,0
VEN148,Smith-Fields,Packaging,INV-2023-148,07-10-2024,156332.17,06-11-2024,,Pending,Cheque,0
VEN149,Morton-Bird,Packaging,INV-2023-149,04-12-2024,77495.85,03-01-2025,29-12-2024,Paid,UPI,0
VEN150,Orozco-Mckenzie,Marketing,INV-2023-150,29-06-2024,63950.75,29-07-2024,,Pending,Cheque,0
VEN151,Choi Inc,Marketing,INV-2023-151,15-06-2024,121785.97,15-07-2024,10-07-2024,Paid,UPI,0
VEN152,Rose-Russell,Packaging,INV-2023-152,29-03-2024,182091.85,28-04-2024,26-04-2024,Paid,Bank Transfer,0
VEN153,Flores LLC,Packaging,INV-2023-153,15-09-2024,98596.33,15-10-2024,10-10-2024,Paid,UPI,0
VEN154,"Weaver, Johnson and Carter",Restaurant Partners,INV-2023-154,22-05-2024,8605.64,21-06-2024,,Overdue,Cheque,265
VEN155,Hernandez-Mitchell,Restaurant Partners,INV-2023-155,06-10-2024,75139.53,05-11-2024,03-11-2024,Paid,Cheque,0
VEN156,Taylor-Beasley,Marketing,INV-2023-156,11-05-2024,110685.29,10-06-2024,,Overdue,Cheque,276
VEN157,Smith and Sons,Logistics,INV-2023-157,04-01-2025,52849.34,03-02-2025,,Pending,Cheque,0
VEN158,Martin PLC,Marketing,INV-2023-158,13-04-2024,63932.96,13-05-2024,,Pending,UPI,0
VEN159,Smith LLC,Logistics,INV-2023-159,19-05-2024,123790.16,18-06-2024,,Pending,Bank Transfer,0
VEN160,Harvey Inc,Packaging,INV-2023-160,25-11-2024,55516.07,25-12-2024,,Pending,UPI,0
VEN161,Callahan-Palmer,Marketing,INV-2023-161,13-08-2024,98766.52,12-09-2024,07-09-2024,Paid,Cheque,0
VEN162,Singleton PLC,Packaging,INV-2023-162,15-06-2024,28997.98,15-07-2024,,Pending,UPI,0
VEN163,Andrews and Sons,Packaging,INV-2023-163,31-10-2024,49773.23,30-11-2024,,Overdue,UPI,103
VEN164,"Kennedy, Wang and White",Restaurant Partners,INV-2023-164,03-07-2024,123763.03,02-08-2024,,Overdue,Bank Transfer,223
VEN165,Holder Inc,Marketing,INV-2023-165,25-05-2024,183181.05,24-06-2024,,Pending,Cheque,0
VEN166,"Williams, Warren and Ramirez",Restaurant Partners,INV-2023-166,25-03-2024,81330.13,24-04-2024,,Pending,Cheque,0
VEN167,Lopez-Soto,Packaging,INV-2023-167,25-09-2024,153551.39,25-10-2024,,Overdue,Cheque,139
VEN168,Day-Monroe,Restaurant Partners,INV-2023-168,29-03-2024,10024.19,28-04-2024,,Pending,Bank Transfer,0
VEN169,Sullivan Inc,Restaurant Partners,INV-2023-169,25-11-2024,125941.29,25-12-2024,25-12-2024,Paid,UPI,0
VEN170,Grant and Sons,Restaurant Partners,INV-2023-170,13-04-2024,135338.25,13-05-2024,,Pending,UPI,0
VEN171,"Cisneros, Frazier and Quinn",Packaging,INV-2023-171,08-07-2024,17831.12,07-08-2024,,Overdue,Bank Transfer,218
VEN172,Fisher Ltd,Packaging,INV-2023-172,06-06-2024,20629.34,06-07-2024,06-07-2024,Paid,UPI,0
VEN173,"Jones, Knight and Robinson",Marketing,INV-2023-173,04-10-2024,71478.37,03-11-2024,,Pending,Bank Transfer,0
VEN174,"Joseph, Anderson and Meyer",Packaging,INV-2023-174,07-07-2024,120134.93,06-08-2024,,Pending,Cheque,0
VEN175,Bridges and Sons,Logistics,INV-2023-175,20-12-2024,96018.39,19-01-2025,,Overdue,Bank Transfer,53
VEN176,Miller and Sons,Packaging,INV-2023-176,08-08-2024,31654.54,07-09-2024,,Pending,UPI,0
VEN177,Sawyer LLC,Marketing,INV-2023-177,27-07-2024,123677.58,26-08-2024,,Pending,Bank Transfer,0
VEN178,Jensen-Nelson,Marketing,INV-2023-178,09-01-2025,22439.66,08-02-2025,08-02-2025,Paid,Bank Transfer,0
VEN179,James and Sons,Restaurant Partners,INV-2023-179,14-06-2024,84444.86,14-07-2024,,Overdue,Cheque,242
VEN180,"Smith, Ayers and Wade",Marketing,INV-2023-180,21-08-2024,16170.01,20-09-2024,,Pending,Cheque,0
VEN181,"Taylor, Hughes and Thomas",Restaurant Partners,INV-2023-181,04-11-2024,16102.69,04-12-2024,29-11-2024,Paid,Cheque,0
VEN182,Reed-Mack,Restaurant Partners,INV-2023-182,22-06-2024,150372.78,22-07-2024,22-07-2024,Paid,Bank Transfer,0
VEN183,Phelps and Sons,Restaurant Partners,INV-2023-183,12-07-2024,134489.5,11-08-2024,,Overdue,Cheque,214
VEN184,Harrell and Sons,Restaurant Partners,INV-2023-184,06-06-2024,65760.37,06-07-2024,,Pending,Cheque,0
VEN185,Fletcher LLC,Restaurant Partners,INV-2023-185,23-06-2024,48209.53,23-07-2024,,Pending,UPI,0
VEN186,Harrington-Brown,Restaurant Partners,INV-2023-186,21-02-2025,87959.49,23-03-2025,,Pending,UPI,0
VEN187,"Lopez, Burnett and Andersen",Restaurant Partners,INV-2023-187,27-04-2024,43615.82,27-05-2024,,Pending,Cheque,0
VEN188,Mills LLC,Restaurant Partners,INV-2023-188,23-06-2024,75159.7,23-07-2024,,Pending,Cheque,0
VEN189,Barton-Summers,Packaging,INV-2023-189,10-09-2024,21401.1,10-10-2024,15-10-2024,Paid,Cheque,0
VEN190,Smith-Brewer,Restaurant Partners,INV-2023-190,17-11-2024,153909.39,17-12-2024,,Pending,Cheque,0
VEN191,"Rodriguez, Huang and Nelson",Marketing,INV-2023-191,21-04-2024,146509.14,21-05-2024,,Pending,Bank Transfer,0
VEN192,"Howard, Ross and Schneider",Packaging,INV-2023-192,29-12-2024,105916.38,28-01-2025,26-01-2025,Paid,UPI,0
VEN193,Thomas Inc,Logistics,INV-2023-193,09-03-2025,145741.58,08-04-2025,,Pending,UPI,0
VEN194,Luna-Ferguson,Logistics,INV-2023-194,25-01-2025,101634.98,24-02-2025,22-02-2025,Paid,UPI,0
VEN195,"Walker, Bowen and Hoover",Restaurant Partners,INV-2023-195,13-10-2024,43153.35,12-11-2024,,Overdue,UPI,121
VEN196,"Santos, Howard and Woods",Packaging,INV-2023-196,30-09-2024,99974.85,30-10-2024,,Pending,Bank Transfer,0
VEN197,"Jensen, Edwards and Callahan",Restaurant Partners,INV-2023-197,17-08-2024,178215.83,16-09-2024,,Pending,Bank Transfer,0
VEN198,Vargas-Johnson,Logistics,INV-2023-198,19-11-2024,152074.86,19-12-2024,,Pending,UPI,0
VEN199,"Garcia, Ortega and Fisher",Restaurant Partners,INV-2023-199,06-10-2024,94543.04,05-11-2024,15-11-2024,Paid,Bank Transfer,0
VEN200,"Wolf, George and White",Packaging,INV-2023-200,24-12-2024,34028.53,23-01-2025,,Overdue,UPI,49
VEN201,Fisher Ltd,Packaging,INV-2023-201,30-04-2024,176271.03,30-05-2024,25-05-2024,Paid,Cheque,0
VEN202,"Moore, Colon and Vincent",Marketing,INV-2023-202,29-04-2024,12282.37,29-05-2024,,Pending,Cheque,0
VEN203,Gibson-Cross,Marketing,INV-2023-203,24-09-2024,105191.46,24-10-2024,19-10-2024,Paid,UPI,0
VEN204,"Gibson, Hoover and Lee",Marketing,INV-2023-204,16-08-2024,149846.14,15-09-2024,13-09-2024,Paid,Bank Transfer,0
VEN205,Horne-Cox,Restaurant Partners,INV-2023-205,25-10-2024,158628.28,24-11-2024,,Overdue,UPI,109
VEN206,Thomas Inc,Restaurant Partners,INV-2023-206,12-05-2024,85181.17,11-06-2024,,Overdue,Cheque,275
VEN207,Wood-Bailey,Packaging,INV-2023-207,11-09-2024,11929.89,11-10-2024,,Pending,Cheque,0
VEN208,Howard Group,Packaging,INV-2023-208,06-04-2024,5727.49,06-05-2024,16-05-2024,Paid,Cheque,0
VEN209,"Brown, Orozco and Sullivan",Marketing,INV-2023-209,13-03-2024,33056.69,12-04-2024,,Pending,Bank Transfer,0
VEN210,Henderson-Harper,Logistics,INV-2023-210,29-08-2024,71557.14,28-09-2024,08-10-2024,Paid,UPI,0
VEN211,Alexander-Alexander,Packaging,INV-2023-211,22-08-2024,125044.06,21-09-2024,16-09-2024,Paid,Bank Transfer,0
VEN212,Perez-Mendez,Logistics,INV-2023-212,27-10-2024,140067.95,26-11-2024,24-11-2024,Paid,UPI,0
VEN213,Drake LLC,Marketing,INV-2023-213,16-01-2025,100612.32,15-02-2025,,Overdue,Cheque,26
VEN214,"Paul, Charles and Rodriguez",Logistics,INV-2023-214,16-11-2024,116573.33,16-12-2024,14-12-2024,Paid,Bank Transfer,0
VEN215,Spence-Turner,Packaging,INV-2023-215,22-08-2024,161117.28,21-09-2024,,Pending,Cheque,0
VEN216,"Rodriguez, Cannon and Velez",Logistics,INV-2023-216,10-08-2024,81933.11,09-09-2024,07-09-2024,Paid,Cheque,0
VEN217,Fowler-Stark,Logistics,INV-2023-217,26-08-2024,183352.71,25-09-2024,,Pending,Bank Transfer,0
